time_idx,open_time
3883,2025-10-31 21:45:00+00:00
3884,2025-10-31 21:46:00+00:00
3885,2025-10-31 21:47:00+00:00
3886,2025-10-31 21:48:00+00:00
3887,2025-10-31 21:49:00+00:00
3888,2025-10-31 21:50:00+00:00
3889,2025-10-31 21:51:00+00:00
3890,2025-10-31 21:52:00+00:00
3891,2025-10-31 21:53:00+00:00
3892,2025-10-31 21:54:00+00:00
3893,2025-10-31 21:55:00+00:00
3894,2025-10-31 21:56:00+00:00
3895,2025-10-31 21:57:00+00:00
3896,2025-10-31 21:58:00+00:00
3897,2025-10-31 21:59:00+00:00
3898,2025-10-31 22:00:00+00:00
3899,2025-10-31 22:01:00+00:00
3900,2025-10-31 22:02:00+00:00
3901,2025-10-31 22:03:00+00:00
3902,2025-10-31 22:04:00+00:00
3903,2025-10-31 22:05:00+00:00
3904,2025-10-31 22:06:00+00:00
3905,2025-10-31 22:07:00+00:00
3906,2025-10-31 22:08:00+00:00
3907,2025-10-31 22:09:00+00:00
3908,2025-10-31 22:10:00+00:00
3909,2025-10-31 22:11:00+00:00
3910,2025-10-31 22:12:00+00:00
3911,2025-10-31 22:13:00+00:00
3912,2025-10-31 22:14:00+00:00
3913,2025-10-31 22:15:00+00:00
3914,2025-10-31 22:16:00+00:00
3915,2025-10-31 22:17:00+00:00
3916,2025-10-31 22:18:00+00:00
3917,2025-10-31 22:19:00+00:00
3918,2025-10-31 22:20:00+00:00
3919,2025-10-31 22:21:00+00:00
3920,2025-10-31 22:22:00+00:00
3921,2025-10-31 22:23:00+00:00
3922,2025-10-31 22:24:00+00:00
3923,2025-10-31 22:25:00+00:00
3924,2025-10-31 22:26:00+00:00
3925,2025-10-31 22:27:00+00:00
3926,2025-10-31 22:28:00+00:00
3927,2025-10-31 22:29:00+00:00
3928,2025-10-31 22:30:00+00:00
3929,2025-10-31 22:31:00+00:00
3930,2025-10-31 22:32:00+00:00
3931,2025-10-31 22:33:00+00:00
3932,2025-10-31 22:34:00+00:00
3933,2025-10-31 22:35:00+00:00
3934,2025-10-31 22:36:00+00:00
3935,2025-10-31 22:37:00+00:00
3936,2025-10-31 22:38:00+00:00
3937,2025-10-31 22:39:00+00:00
3938,2025-10-31 22:40:00+00:00
3939,2025-10-31 22:41:00+00:00
3940,2025-10-31 22:42:00+00:00
3941,2025-10-31 22:43:00+00:00
3942,2025-10-31 22:44:00+00:00
3943,2025-10-31 22:45:00+00:00
3944,2025-10-31 22:46:00+00:00
3945,2025-10-31 22:47:00+00:00
3946,2025-10-31 22:48:00+00:00
3947,2025-10-31 22:49:00+00:00
3948,2025-10-31 22:50:00+00:00
3949,2025-10-31 22:51:00+00:00
3950,2025-10-31 22:52:00+00:00
3951,2025-10-31 22:53:00+00:00
3952,2025-10-31 22:54:00+00:00
3953,2025-10-31 22:55:00+00:00
3954,2025-10-31 22:56:00+00:00
3955,2025-10-31 22:57:00+00:00
3956,2025-10-31 22:58:00+00:00
3957,2025-10-31 22:59:00+00:00
3958,2025-10-31 23:00:00+00:00
3959,2025-10-31 23:01:00+00:00
3960,2025-10-31 23:02:00+00:00
3961,2025-10-31 23:03:00+00:00
3962,2025-10-31 23:04:00+00:00
3963,2025-10-31 23:05:00+00:00
3964,2025-10-31 23:06:00+00:00
3965,2025-10-31 23:07:00+00:00
3966,2025-10-31 23:08:00+00:00
3967,2025-10-31 23:09:00+00:00
3968,2025-10-31 23:10:00+00:00
3969,2025-10-31 23:11:00+00:00
3970,2025-10-31 23:12:00+00:00
3971,2025-10-31 23:13:00+00:00
3972,2025-10-31 23:14:00+00:00
3973,2025-10-31 23:15:00+00:00
3974,2025-10-31 23:16:00+00:00
3975,2025-10-31 23:17:00+00:00
3976,2025-10-31 23:18:00+00:00
3977,2025-10-31 23:19:00+00:00
3978,2025-10-31 23:20:00+00:00
3979,2025-10-31 23:21:00+00:00
3980,2025-10-31 23:22:00+00:00
3981,2025-10-31 23:23:00+00:00
3982,2025-10-31 23:24:00+00:00
3983,2025-10-31 23:25:00+00:00
3984,2025-10-31 23:26:00+00:00
3985,2025-10-31 23:27:00+00:00
3986,2025-10-31 23:28:00+00:00
3987,2025-10-31 23:29:00+00:00
3988,2025-10-31 23:30:00+00:00
3989,2025-10-31 23:31:00+00:00
3990,2025-10-31 23:32:00+00:00
3991,2025-10-31 23:33:00+00:00
3992,2025-10-31 23:34:00+00:00
3993,2025-10-31 23:35:00+00:00
3994,2025-10-31 23:36:00+00:00
3995,2025-10-31 23:37:00+00:00
3996,2025-10-31 23:38:00+00:00
3997,2025-10-31 23:39:00+00:00
3998,2025-10-31 23:40:00+00:00
3999,2025-10-31 23:41:00+00:00
4000,2025-10-31 23:42:00+00:00
4001,2025-10-31 23:43:00+00:00
4002,2025-10-31 23:44:00+00:00
4003,2025-10-31 23:45:00+00:00
4004,2025-10-31 23:46:00+00:00
4005,2025-10-31 23:47:00+00:00
4006,2025-10-31 23:48:00+00:00
4007,2025-10-31 23:49:00+00:00
4008,2025-10-31 23:50:00+00:00
4009,2025-10-31 23:51:00+00:00
4010,2025-10-31 23:52:00+00:00
4011,2025-10-31 23:53:00+00:00
4012,2025-10-31 23:54:00+00:00
4013,2025-10-31 23:55:00+00:00
4014,2025-10-31 23:56:00+00:00
4015,2025-10-31 23:57:00+00:00
4016,2025-10-31 23:58:00+00:00
4017,2025-10-31 23:59:00+00:00
4018,2025-11-01 00:00:00+00:00
4019,2025-11-01 00:01:00+00:00
4020,2025-11-01 00:02:00+00:00
4021,2025-11-01 00:03:00+00:00
4022,2025-11-01 00:04:00+00:00
4023,2025-11-01 00:05:00+00:00
4024,2025-11-01 00:06:00+00:00
4025,2025-11-01 00:07:00+00:00
4026,2025-11-01 00:08:00+00:00
4027,2025-11-01 00:09:00+00:00
4028,2025-11-01 00:10:00+00:00
4029,2025-11-01 00:11:00+00:00
4030,2025-11-01 00:12:00+00:00
4031,2025-11-01 00:13:00+00:00
4032,2025-11-01 00:14:00+00:00
4033,2025-11-01 00:15:00+00:00
4034,2025-11-01 00:16:00+00:00
4035,2025-11-01 00:17:00+00:00
4036,2025-11-01 00:18:00+00:00
4037,2025-11-01 00:19:00+00:00
4038,2025-11-01 00:20:00+00:00
4039,2025-11-01 00:21:00+00:00
4040,2025-11-01 00:22:00+00:00
4041,2025-11-01 00:23:00+00:00
4042,2025-11-01 00:24:00+00:00
4043,2025-11-01 00:25:00+00:00
4044,2025-11-01 00:26:00+00:00
4045,2025-11-01 00:27:00+00:00
4046,2025-11-01 00:28:00+00:00
4047,2025-11-01 00:29:00+00:00
4048,2025-11-01 00:30:00+00:00
4049,2025-11-01 00:31:00+00:00
4050,2025-11-01 00:32:00+00:00
4051,2025-11-01 00:33:00+00:00
4052,2025-11-01 00:34:00+00:00
4053,2025-11-01 00:35:00+00:00
4054,2025-11-01 00:36:00+00:00
4055,2025-11-01 00:37:00+00:00
4056,2025-11-01 00:38:00+00:00
4057,2025-11-01 00:39:00+00:00
4058,2025-11-01 00:40:00+00:00
4059,2025-11-01 00:41:00+00:00
4060,2025-11-01 00:42:00+00:00
4061,2025-11-01 00:43:00+00:00
4062,2025-11-01 00:44:00+00:00
4063,2025-11-01 00:45:00+00:00
4064,2025-11-01 00:46:00+00:00
4065,2025-11-01 00:47:00+00:00
4066,2025-11-01 00:48:00+00:00
4067,2025-11-01 00:49:00+00:00
4068,2025-11-01 00:50:00+00:00
4069,2025-11-01 00:51:00+00:00
4070,2025-11-01 00:52:00+00:00
4071,2025-11-01 00:53:00+00:00
4072,2025-11-01 00:54:00+00:00
4073,2025-11-01 00:55:00+00:00
4074,2025-11-01 00:56:00+00:00
4075,2025-11-01 00:57:00+00:00
4076,2025-11-01 00:58:00+00:00
4077,2025-11-01 00:59:00+00:00
4078,2025-11-01 01:00:00+00:00
4079,2025-11-01 01:01:00+00:00
4080,2025-11-01 01:02:00+00:00
4081,2025-11-01 01:03:00+00:00
4082,2025-11-01 01:04:00+00:00
4083,2025-11-01 01:05:00+00:00
4084,2025-11-01 01:06:00+00:00
4085,2025-11-01 01:07:00+00:00
4086,2025-11-01 01:08:00+00:00
4087,2025-11-01 01:09:00+00:00
4088,2025-11-01 01:10:00+00:00
4089,2025-11-01 01:11:00+00:00
4090,2025-11-01 01:12:00+00:00
4091,2025-11-01 01:13:00+00:00
4092,2025-11-01 01:14:00+00:00
4093,2025-11-01 01:15:00+00:00
4094,2025-11-01 01:16:00+00:00
4095,2025-11-01 01:17:00+00:00
4096,2025-11-01 01:18:00+00:00
4097,2025-11-01 01:19:00+00:00
4098,2025-11-01 01:20:00+00:00
4099,2025-11-01 01:21:00+00:00
4100,2025-11-01 01:22:00+00:00
4101,2025-11-01 01:23:00+00:00
4102,2025-11-01 01:24:00+00:00
4103,2025-11-01 01:25:00+00:00
4104,2025-11-01 01:26:00+00:00
4105,2025-11-01 01:27:00+00:00
4106,2025-11-01 01:28:00+00:00
4107,2025-11-01 01:29:00+00:00
4108,2025-11-01 01:30:00+00:00
4109,2025-11-01 01:31:00+00:00
4110,2025-11-01 01:32:00+00:00
4111,2025-11-01 01:33:00+00:00
4112,2025-11-01 01:34:00+00:00
4113,2025-11-01 01:35:00+00:00
4114,2025-11-01 01:36:00+00:00
4115,2025-11-01 01:37:00+00:00
4116,2025-11-01 01:38:00+00:00
4117,2025-11-01 01:39:00+00:00
4118,2025-11-01 01:40:00+00:00
4119,2025-11-01 01:41:00+00:00
4120,2025-11-01 01:42:00+00:00
4121,2025-11-01 01:43:00+00:00
4122,2025-11-01 01:44:00+00:00
4123,2025-11-01 01:45:00+00:00
4124,2025-11-01 01:46:00+00:00
4125,2025-11-01 01:47:00+00:00
4126,2025-11-01 01:48:00+00:00
4127,2025-11-01 01:49:00+00:00
4128,2025-11-01 01:50:00+00:00
4129,2025-11-01 01:51:00+00:00
4130,2025-11-01 01:52:00+00:00
4131,2025-11-01 01:53:00+00:00
4132,2025-11-01 01:54:00+00:00
4133,2025-11-01 01:55:00+00:00
4134,2025-11-01 01:56:00+00:00
4135,2025-11-01 01:57:00+00:00
4136,2025-11-01 01:58:00+00:00
4137,2025-11-01 01:59:00+00:00
4138,2025-11-01 02:00:00+00:00
4139,2025-11-01 02:01:00+00:00
4140,2025-11-01 02:02:00+00:00
4141,2025-11-01 02:03:00+00:00
4142,2025-11-01 02:04:00+00:00
4143,2025-11-01 02:05:00+00:00
4144,2025-11-01 02:06:00+00:00
4145,2025-11-01 02:07:00+00:00
4146,2025-11-01 02:08:00+00:00
4147,2025-11-01 02:09:00+00:00
4148,2025-11-01 02:10:00+00:00
4149,2025-11-01 02:11:00+00:00
4150,2025-11-01 02:12:00+00:00
4151,2025-11-01 02:13:00+00:00
4152,2025-11-01 02:14:00+00:00
4153,2025-11-01 02:15:00+00:00
4154,2025-11-01 02:16:00+00:00
4155,2025-11-01 02:17:00+00:00
4156,2025-11-01 02:18:00+00:00
4157,2025-11-01 02:19:00+00:00
4158,2025-11-01 02:20:00+00:00
4159,2025-11-01 02:21:00+00:00
4160,2025-11-01 02:22:00+00:00
4161,2025-11-01 02:23:00+00:00
4162,2025-11-01 02:24:00+00:00
4163,2025-11-01 02:25:00+00:00
4164,2025-11-01 02:26:00+00:00
4165,2025-11-01 02:27:00+00:00
4166,2025-11-01 02:28:00+00:00
4167,2025-11-01 02:29:00+00:00
4168,2025-11-01 02:30:00+00:00
4169,2025-11-01 02:31:00+00:00
4170,2025-11-01 02:32:00+00:00
4171,2025-11-01 02:33:00+00:00
4172,2025-11-01 02:34:00+00:00
4173,2025-11-01 02:35:00+00:00
4174,2025-11-01 02:36:00+00:00
4175,2025-11-01 02:37:00+00:00
4176,2025-11-01 02:38:00+00:00
4177,2025-11-01 02:39:00+00:00
4178,2025-11-01 02:40:00+00:00
4179,2025-11-01 02:41:00+00:00
4180,2025-11-01 02:42:00+00:00
4181,2025-11-01 02:43:00+00:00
4182,2025-11-01 02:44:00+00:00
4183,2025-11-01 02:45:00+00:00
4184,2025-11-01 02:46:00+00:00
4185,2025-11-01 02:47:00+00:00
4186,2025-11-01 02:48:00+00:00
4187,2025-11-01 02:49:00+00:00
4188,2025-11-01 02:50:00+00:00
4189,2025-11-01 02:51:00+00:00
4190,2025-11-01 02:52:00+00:00
4191,2025-11-01 02:53:00+00:00
4192,2025-11-01 02:54:00+00:00
4193,2025-11-01 02:55:00+00:00
4194,2025-11-01 02:56:00+00:00
4195,2025-11-01 02:57:00+00:00
4196,2025-11-01 02:58:00+00:00
